,Station,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
1,A,Cerdocyon tous,23/03/2017 17:59,23/03/2017,17:59:49,0,0,0,0,C:/Documents/camtrapR/camara1,e1.JPG
2,A,Cerdocyon tous,24/03/2017 21:27,24/03/2017,21:27:45,98532,1642,27.4,1.1,C:/Documents/camtrapR/camara1,e6.JPG
3,A,Cerdocyon tous,25/03/2017 12:33,25/03/2017,12:33:51,54364,906,15.1,0.6,C:/Documents/camtrapR/camara1,e9.JPG
4,A,Galictis cuja,23/03/2017 14:02,23/03/2017,14:02:01,0,0,0,0,C:/Documents/camtrapR/camara1,e12.JPG
5,A,Mazama guazubira,25/03/2017 15:55,25/03/2017,15:55:10,0,0,0,0,C:/Documents/camtrapR/camara1,e21.JPG
6,A,Mazama guazubira,25/03/2017 22:36,25/03/2017,22:36:30,22776,380,6.3,0.3,C:/Documents/camtrapR/camara1,e66.JPG
7,A,Mazama guazubira,26/03/2017 02:26,26/03/2017,02:26:41,13183,220,3.7,0.2,C:/Documents/camtrapR/camara1,e84.JPG
8,A,Mazama guazubira,26/03/2017 15:35,26/03/2017,15:35:17,47296,788,13.1,0.5,C:/Documents/camtrapR/camara1,e90.JPG
9,A,Chrysocyon brachiurus,23/03/2017 17:55,23/03/2017,17:55:50,0,0,0,0,C:/Documents/camtrapR/camara1,e90.JPG
10,A,Chrysocyon brachiurus,23/03/2017 22:29,23/03/2017,22:29:43,15706,262,4.4,0.2,C:/Documents/camtrapR/camara1,e98.JPG
11,A,Chrysocyon brachiurus,24/03/2017 21:29,24/03/2017,21:29:57,81969,1366,22.8,1,C:/Documents/camtrapR/camara1,e110.JPG
12,A,Leopardus wiedii,26/03/2017 10:15,26/03/2017,10:15:05,0,0,0,0,C:/Documents/camtrapR/camara1,e152.JPG
13,A,Dasypus novecsintus,26/03/2017 00:48,26/03/2017,00:48:27,0,0,0,0,C:/Documents/camtrapR/camara1,e155.JPG
14,A,Procyon cancrivorous,24/03/2017 17:56,24/03/2017,17:56:52,0,0,0,0,C:/Documents/camtrapR/camara1,e170.JPG
15,A,Procyon cancrivorous,24/03/2017 22:54,24/03/2017,22:54:09,17809,297,5,0.2,C:/Documents/camtrapR/camara1,e176.JPG
16,A,Lycalopex gymnocercus,23/03/2017 17:58,23/03/2017,17:58:01,0,0,0,0,C:/Documents/camtrapR/camara1,e185.JPG
17,A,Cerdocyon tous,21/12/2016 07:22,21/12/2016,07:22:10,0,0,0,0,C:/Documents/camtrapR/camara1,e1.JPG
18,A,Cerdocyon tous,21/12/2016 18:53,21/12/2016,18:53:10,41458,691,11.5,0.5,C:/Documents/camtrapR/camara1,e4.JPG
19,A,Cerdocyon tous,24/12/2016 06:53,24/12/2016,06:53:40,216029,3600,60,2.5,C:/Documents/camtrapR/camara1,e7.JPG
20,A,Cerdocyon tous,25/12/2016 07:40,25/12/2016,07:40:44,86039,1434,23.9,1,C:/Documents/camtrapR/camara1,e16.JPG
21,A,Cerdocyon tous,26/12/2016 08:10,26/12/2016,08:10:18,88173,1470,24.5,1,C:/Documents/camtrapR/camara1,e19.JPG
22,A,Cerdocyon tous,27/12/2016 00:51,27/12/2016,00:51:44,60083,1001,16.7,0.7,C:/Documents/camtrapR/camara1,e22.JPG
23,A,Cerdocyon tous,27/12/2016 05:21,27/12/2016,05:21:37,16191,270,4.5,0.2,C:/Documents/camtrapR/camara1,e25.JPG
24,A,Galictis cuja,19/12/2016 18:52,19/12/2016,18:52:06,0,0,0,0,C:/Documents/camtrapR/camara1,e28.JPG
25,A,Tamandua tetradactyla,20/12/2016 11:06,20/12/2016,11:06:52,0,0,0,0,C:/Documents/camtrapR/camara1,e36.JPG
26,A,Tamandua tetradactyla,22/12/2016 10:53,22/12/2016,10:53:20,171987,2866,47.8,2,C:/Documents/camtrapR/camara1,e39.JPG
27,A,Tamandua tetradactyla,24/12/2016 12:14,24/12/2016,12:14:50,177689,2961,49.4,2.1,C:/Documents/camtrapR/camara1,e42.JPG
28,A,Dasypus novecsintus,23/12/2016 21:03,23/12/2016,21:03:23,0,0,0,0,C:/Documents/camtrapR/camara1,e45.JPG
29,A,Dasypus novecsintus,23/12/2016 23:32,23/12/2016,23:32:43,8959,149,2.5,0.1,C:/Documents/camtrapR/camara1,e48.JPG
30,A,Tamandua tetradactyla,25/12/2016 05:18,25/12/2016,05:18:38,0,0,0,0,C:/Documents/camtrapR/camara1,e51.JPG
31,A,Eufractus sexintus,20/12/2016 01:48,20/12/2016,01:48:28,0,0,0,0,C:/Documents/camtrapR/camara1,e54.JPG
32,A,Eufractus sexintus,20/12/2016 21:05,20/12/2016,21:05:16,69407,1157,19.3,0.8,C:/Documents/camtrapR/camara1,e57.JPG
33,A,Eufractus sexintus,22/12/2016 21:33,22/12/2016,21:33:58,174521,2909,48.5,2,C:/Documents/camtrapR/camara1,e60.JPG
34,A,Lycalopex gymnocercus,20/12/2016 00:52,20/12/2016,00:52:39,0,0,0,0,C:/Documents/camtrapR/camara1,e63.JPG
35,A,Lycalopex gymnocercus,20/12/2016 18:37,20/12/2016,18:37:08,63866,1064,17.7,0.7,C:/Documents/camtrapR/camara1,e66.JPG
36,A,Lycalopex gymnocercus,21/12/2016 06:57,21/12/2016,06:57:30,44391,740,12.3,0.5,C:/Documents/camtrapR/camara1,e72.JPG
37,A,Lycalopex gymnocercus,21/12/2016 18:57,21/12/2016,18:57:36,43204,720,12,0.5,C:/Documents/camtrapR/camara1,e75.JPG
38,A,Lycalopex gymnocercus,22/12/2016 02:18,22/12/2016,02:18:59,26235,437,7.3,0.3,C:/Documents/camtrapR/camara1,e88.JPG
39,A,Lycalopex gymnocercus,22/12/2016 07:20,22/12/2016,07:20:13,18073,301,5,0.2,C:/Documents/camtrapR/camara1,e91.JPG
40,A,Lycalopex gymnocercus,23/12/2016 17:20,23/12/2016,17:20:43,122429,2040,34,1.4,C:/Documents/camtrapR/camara1,e94.JPG
41,A,Lycalopex gymnocercus,23/12/2016 18:27,23/12/2016,18:27:37,4013,67,1.1,0,C:/Documents/camtrapR/camara1,e97.JPG
42,A,Lycalopex gymnocercus,24/12/2016 06:33,24/12/2016,06:33:36,43558,726,12.1,0.5,C:/Documents/camtrapR/camara1,e100.JPG
43,A,Lycalopex gymnocercus,24/12/2016 18:24,24/12/2016,18:24:48,33910,565,9.4,0.4,C:/Documents/camtrapR/camara1,e124.JPG
44,A,Lycalopex gymnocercus,25/12/2016 05:57,25/12/2016,05:57:34,40837,681,11.3,0.5,C:/Documents/camtrapR/camara1,e130.JPG
45,A,Lycalopex gymnocercus,25/12/2016 07:25,25/12/2016,07:25:24,5269,88,1.5,0.1,C:/Documents/camtrapR/camara1,e133.JPG
